var_desc,var,var_desc_ewas,Matched Unit,Unit Type,ID,Test Name,Specimen,Cell Type,Low CU,High CU,Conventional Units,Low SI,High SI,SI Units,Effect,Test Method Type,Gender,Age_group,Testing time,Tests Anatomical Position,Blood level,Infection Type,Other conditions,Source,Comments
 - , - , - , - , - ,#028,Ammonia,Plasma (Hep), -,9,33,mcmol/L ,9,33,mcmol/L, -, -, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#029,Amylase,Serum, -,27,131,U/L ,0.46,2.23,mckat/L, -, -, -, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
 - , - , - , - , - ,#030,Amylase,Urine, -,1,17,U/h,0.017,0.29,mckat/h, -, -, -, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
 - , - , - , - , - ,#031,Amylase:creatinine clearance ratio, -, -,1,4,%,0.01,0.04, -, -, -, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#032,Androstenedione,Serum, -,75,205,ng/dL,2.6,7.2,nmol/L, -, -,Male, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#033,Androstenedione,Serum, -,85,275,ng/dL,3,9.6,nmol/L, -, -,Female, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#034,Anion gap, -, -,7,16,mEq/L ,7,16,mmol/L, -, -, -, -, -, -, -, -,(Na  [Cl + HCO3]]),Stedman's, -
 - , - , - , - , - ,#035,Anion gap, -, -,10,20,mEq/L ,10,20,mmol/L, -, -, -, -, -, -, -, -,([Na + K]  [Cl + HCO3]),Stedman's, -
 - , - , - , - , - ,#036,Alpha-1 Antitrypsin,Serum, -,78,200,mg/dL,0.78,2,g/L, -, -, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#037,Apolipoprotein A-1, -, -,94,178,mg/dL,0.94,1.78,g/L, -, -,Male, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#038,Apolipoprotein A-1, -, -,101,199,mg/dL,1.01,1.99,g/L, -, -,Female, -, -, -, -, -, -,Stedman's, -
Apolipoprotein (B) (mg/dL),LBXAPB,biochemistry,mg/dL,Conventional Unit,#039,Apolipoprotein B, -, -,63,133,mg/dL,0.63,1.33,g/L, -, -,Male, -, -, -, -, -, -,Stedman's, -
Apolipoprotein (B) (g/L),LBDAPBSI,biochemistry,g/L,SI Unit,#039,Apolipoprotein B, -, -,63,133,mg/dL,0.63,1.33,g/L, -, -,Male, -, -, -, -, -, -,Stedman's, -
Apolipoprotein (B) (mg/dL),LBXAPB,biochemistry,mg/dL,Conventional Unit,#040,Apolipoprotein B, -, -,60,126,mg/dL,0.6,1.26,g/L, -, -,Female, -, -, -, -, -, -,Stedman's, -
Apolipoprotein (B) (g/L),LBDAPBSI,biochemistry,g/L,SI Unit,#040,Apolipoprotein B, -, -,60,126,mg/dL,0.6,1.26,g/L, -, -,Female, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#041,Arsenic,Whole blood (Hep), -,0.2,2.3,mcg/dL ,0.03,0.31,mcmol/L, -, -, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#042,Arsenic,Whole blood (Hep), -,10,50,mcg/dL ,1.33,6.65,mcmol/L, -, -, -, -, -, -, -, -,Chronic poisoning,Stedman's, -
 - , - , - , - , - ,#043,Arsenic,Whole blood (Hep), -,60,930,mcg/dL ,7.98,124,mcmol/L, -, -, -, -, -, -, -, -,Acute poisoning,Stedman's, -
 - , - , - , - , - ,#044,Arsenic,Urine, -,5,50,mcg/d,0.07,0.67,mcmol/d, -, -, -, -,24 h, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#045,Ascorbic acid,"Plasma (Ox, Hep, EDTA)", -,0.4,1.5,mg/dL,23,85,mcmol/L, -, -, -, -, -, -, -, -, -,Stedman's, -
Aspartate aminotransferase AST (U/L),LBXSASSI,biochemistry,U/L,Conventional Unit,#046,Aspartate aminotransferase (AST)/Serum glutamic oxaloacetic transaminase (SGOT),Serum, -,10,59,U/L (37C),0.17,1 (-2 to +3 ),kat/L (37C), -, -, -, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
Asparate aminotransferase (AST) (U/L),LBXSASSI,biochemistry,U/L,Conventional Unit,#046,Aspartate aminotransferase (AST)/Serum glutamic oxaloacetic transaminase (SGOT),Serum, -,10,59,U/L (37C),0.17,1 (-2 to +3 ),kat/L (37C), -, -, -, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
Aspartate aminotransferase AST (IU/L),LBXSASSI,biochemistry,U/L,Conventional Unit,#046,Aspartate aminotransferase (AST)/Serum glutamic oxaloacetic transaminase (SGOT),Serum, -,10,59,U/L (37C),0.17,1 (-2 to +3 ),kat/L (37C), -, -, -, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
Aspartate aminotransferase (U/L),LB2SASSI,biochemistry,U/L,Conventional Unit,#046,Aspartate aminotransferase (AST)/Serum glutamic oxaloacetic transaminase (SGOT),Serum, -,10,59,U/L (37C),0.17,1 (-2 to +3 ),kat/L (37C), -, -, -, -, -, -, -, -, -,Stedman's,Test values dependent on laboratory methods used.
 - , - , - , - , - ,#047,Base excess,Blood (Hep), -,-2,3,mEq/L,-2,3,mmol/L, -, -, -, -, -, -, -, -, -,Stedman's, -
Bicarbonate (mmol/L),LBXSC3SI,biochemistry,mmol/L,SI Unit,#048,Bicarbonate,Serum (venous), -,22,29,mEq/L,22,29,mmol/L, -, -, -, -, -, -, -, -, -,Stedman's, -
Bicarbonate: SI (mmol/L),LBXSC3SI,biochemistry,mmol/L,SI Unit,#048,Bicarbonate,Serum (venous), -,22,29,mEq/L,22,29,mmol/L, -, -, -, -, -, -, -, -, -,Stedman's, -
Bicarbonate (mmol/L),LB2SC3SI,biochemistry,mmol/L,SI Unit,#048,Bicarbonate,Serum (venous), -,22,29,mEq/L,22,29,mmol/L, -, -, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#049,"Bilirubin, direct", -, -,0,0.4,mg/dL, -, -, -, -, -, -, -,Birthdeath, -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
Total bilirubin (mg/dL),LBXSTB,biochemistry,mg/dL,Conventional Unit,#050,"Bilirubin, total", -, -,1,6,mg/dL, -, -, -, -, -, -, -,Birth1 day , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LBXSTB,biochemistry,mg/dL,Conventional Unit,#050,"Bilirubin, total", -, -,1,6,mg/dL, -, -, -, -, -, -, -,Birth1 day , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LB2STB,biochemistry,mg/dL,Conventional Unit,#050,"Bilirubin, total", -, -,1,6,mg/dL, -, -, -, -, -, -, -,Birth1 day , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
Total bilirubin (mg/dL),LBXSTB,biochemistry,mg/dL,Conventional Unit,#051,"Bilirubin, total", -, -,6,7.5,mg/dL, -, -, -, -, -, -, -,12 days , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LBXSTB,biochemistry,mg/dL,Conventional Unit,#051,"Bilirubin, total", -, -,6,7.5,mg/dL, -, -, -, -, -, -, -,12 days , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LB2STB,biochemistry,mg/dL,Conventional Unit,#051,"Bilirubin, total", -, -,6,7.5,mg/dL, -, -, -, -, -, -, -,12 days , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
Total bilirubin (mg/dL),LBXSTB,biochemistry,mg/dL,Conventional Unit,#052,"Bilirubin, total", -, -,4,13.5,mg/dL, -, -, -, -, -, -, -,25 days , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LBXSTB,biochemistry,mg/dL,Conventional Unit,#052,"Bilirubin, total", -, -,4,13.5,mg/dL, -, -, -, -, -, -, -,25 days , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LB2STB,biochemistry,mg/dL,Conventional Unit,#052,"Bilirubin, total", -, -,4,13.5,mg/dL, -, -, -, -, -, -, -,25 days , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
Total bilirubin (mg/dL),LBXSTB,biochemistry,mg/dL,Conventional Unit,#053,"Bilirubin, total", -, -,0.2,1.2,mg/dL, -, -, -, -, -, -, -,5 daysdeath , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LBXSTB,biochemistry,mg/dL,Conventional Unit,#053,"Bilirubin, total", -, -,0.2,1.2,mg/dL, -, -, -, -, -, -, -,5 daysdeath , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LB2STB,biochemistry,mg/dL,Conventional Unit,#053,"Bilirubin, total", -, -,0.2,1.2,mg/dL, -, -, -, -, -, -, -,5 daysdeath , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
Total bilirubin (mg/dL),LBXSTB,biochemistry,mg/dL,Conventional Unit,#054,"Bilirubin, total", -, -,1,6,mg/dL, -, -, -, -, -, -,Neonatal,Birth1 day , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LBXSTB,biochemistry,mg/dL,Conventional Unit,#054,"Bilirubin, total", -, -,1,6,mg/dL, -, -, -, -, -, -,Neonatal,Birth1 day , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LB2STB,biochemistry,mg/dL,Conventional Unit,#054,"Bilirubin, total", -, -,1,6,mg/dL, -, -, -, -, -, -,Neonatal,Birth1 day , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
Total bilirubin (mg/dL),LBXSTB,biochemistry,mg/dL,Conventional Unit,#055,"Bilirubin, total", -, -,6,7.5,mg/dL, -, -, -, -, -, -,Neonatal,12 days , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LBXSTB,biochemistry,mg/dL,Conventional Unit,#055,"Bilirubin, total", -, -,6,7.5,mg/dL, -, -, -, -, -, -,Neonatal,12 days , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LB2STB,biochemistry,mg/dL,Conventional Unit,#055,"Bilirubin, total", -, -,6,7.5,mg/dL, -, -, -, -, -, -,Neonatal,12 days , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
Total bilirubin (mg/dL),LBXSTB,biochemistry,mg/dL,Conventional Unit,#056,"Bilirubin, total", -, -,4,13.5,mg/dL, -, -, -, -, -, -,Neonatal,25 days , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LBXSTB,biochemistry,mg/dL,Conventional Unit,#056,"Bilirubin, total", -, -,4,13.5,mg/dL, -, -, -, -, -, -,Neonatal,25 days , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LB2STB,biochemistry,mg/dL,Conventional Unit,#056,"Bilirubin, total", -, -,4,13.5,mg/dL, -, -, -, -, -, -,Neonatal,25 days , -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
Total bilirubin (mg/dL),LBXSTB,biochemistry,mg/dL,Conventional Unit,#057,"Bilirubin, total", -, -,0,1.8,mg/dL, -, -, -, -, -, -,Neonatal,5 days1 month, -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LBXSTB,biochemistry,mg/dL,Conventional Unit,#057,"Bilirubin, total", -, -,0,1.8,mg/dL, -, -, -, -, -, -,Neonatal,5 days1 month, -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LB2STB,biochemistry,mg/dL,Conventional Unit,#057,"Bilirubin, total", -, -,0,1.8,mg/dL, -, -, -, -, -, -,Neonatal,5 days1 month, -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
Total bilirubin (mg/dL),LBXSTB,biochemistry,mg/dL,Conventional Unit,#058,"Bilirubin, total", -, -,0,1.8,mg/dL, -, -, -, -, -, -,Neonatal,1 monthdeath, -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LBXSTB,biochemistry,mg/dL,Conventional Unit,#058,"Bilirubin, total", -, -,0,1.8,mg/dL, -, -, -, -, -, -,Neonatal,1 monthdeath, -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
"Bilirubin, total (mg/dL)",LB2STB,biochemistry,mg/dL,Conventional Unit,#058,"Bilirubin, total", -, -,0,1.8,mg/dL, -, -, -, -, -, -,Neonatal,1 monthdeath, -, -, -, -,Stedman's,Bilirubin data  Source: https://labs-sec.uhs-sa.com/clinical_ext/dols/soprefrange.asp
 - , - , - , - , - ,#059,Differential cell count,Bone marrow,Undifferentiated cells,0,1,%,0,0.01, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#060,Differential cell count,Bone marrow,Myeloblast ,0,2,%,0,0.02, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#061,Differential cell count,Bone marrow,Promyelocyte ,0,4,%,0,0.04, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#062,Differential cell count,Bone marrow,Myelocytes-Neutrophilic,5,20,%,0.05,0.2, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#063,Differential cell count,Bone marrow,Myelocytes-Eosinophilic,0,3,%,0,0.03, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#064,Differential cell count,Bone marrow,Myelocytes-Basophilic,0,1,%,0,0.01, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#065,Differential cell count,Bone marrow,Metamyeolocytes and bands-Neutrophilic,5,35,%,0.05,0.35, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#066,Differential cell count,Bone marrow,Metamyeolocytes and bands-Eosinophilic,0,5,%,0,0.05, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#067,Differential cell count,Bone marrow,Metamyeolocytes and bands-Basophilic,0,1,%,0,0.01, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
Segmented neutrophils percent (%),LBXNEPCT,blood,%,Conventional Unit,#068,Differential cell count,Bone marrow,Segmented neutrophils,5,15,%,0.05,0.15, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#069,Differential cell count,Bone marrow,Pronormoblast,0,1.5,%,0,0.015, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#070,Differential cell count,Bone marrow,Basophilic normoblast,0,5,%,0,0.05, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#071,Differential cell count,Bone marrow,Polychromatophilic normoblast,5,30,%,0.05,0.3, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#072,Differential cell count,Bone marrow,Orthochromatic normoblast,5,10,%,0.05,0.1, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
Lymphocyte percent (%),LBXLYPCT,blood,%,Conventional Unit,#073,Differential cell count,Bone marrow,Lymphocytes,10,20,%,0.1,0.2, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#073,Differential cell count,Bone marrow,Lymphocytes,10,20,%,0.1,0.2, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#074,Differential cell count,Bone marrow,Plasma cells,0,2,%,0,0.02, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
Monocyte percent (%),LBXMOPCT,blood,%,Conventional Unit,#075,Differential cell count,Bone marrow,Monocytes,0,5,%,0,0.05, -, -, -, -,Adult, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#076,CA-125,Serum, -, -,<35,U/mL, -,<35,kU/L, -, -, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#077,CA 15-3,Serum, -, -,<30,U/mL, -,<30,kU/L, -, -, -, -, -, -, -, -, -,Stedman's, -
 - , - , - , - , - ,#078,CA 19-9,Serum, -, -,<37,U/mL, -,<37,kU/L, -, -, -, -, -, -, -, -, -,Stedman's, -
Cadmium (nmoL/L),LBDBCDSI,heavy metals,nmoL/L,SI Unit,#079,Cadmium,Whole blood (Hep), -,0.1,0.5,mcg/dL ,8.9,44.5,nmol/L, -, -, -, -, -, -, -, -, -,Stedman's, -
Cadmium (nmol/L),LBDBCDSI,heavy metals,nmol/L,SI Unit,#079,Cadmium,Whole blood (Hep), -,0.1,0.5,mcg/dL ,8.9,44.5,nmol/L, -, -, -, -, -, -, -, -, -,Stedman's, -
Blood cadmium (nmol/L),LBDBCDSI,heavy metals,nmol/L,SI Unit,#079,Cadmium,Whole blood (Hep), -,0.1,0.5,mcg/dL ,8.9,44.5,nmol/L, -, -, -, -, -, -, -, -, -,Stedman's, -
